implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI root-in repl-x cusparse CUD,CSR,webbase-1M.mtx,1000005,1000005,3105536,1,8.099753000e-05,5.743083921e-07,76.682239569,0.000000000e+00,7.326720245e-05,6.881551050e-01,3.754942953e-02,3.556846000e-03,1,6.654379181e-07
MPI root-in repl-x cusparse CUD,CSR,bone010.mtx,986703,986703,71666325,1,8.200185600e-04,5.932021127e-07,174.791958367,0.000000000e+00,8.117555022e-04,8.139491123e+00,6.044479779e-01,4.966528800e-02,1,6.276957065e-03
MPI root-in repl-x cusparse CUD,CSR,boyd2.mtx,466316,466316,1500397,1,3.876052000e-05,4.748324017e-07,77.418827199,0.000000000e+00,3.222527973e-05,1.555009240e-01,1.143271903e-02,2.042531000e-03,1,4.365163746e+02
MPI root-in repl-x cusparse CUD,CSR,ASIC_680ks.mtx,682712,682712,2329176,1,5.463853000e-05,5.862351823e-07,85.257637788,0.000000000e+00,4.804608133e-05,6.336147110e-01,2.179069468e-02,2.749019000e-03,1,5.070871004e-02
MPI root-in repl-x cusparse CUD,CSR,eu-2005.mtx,862664,862664,19235140,1,2.581758900e-04,5.938173776e-07,149.008027047,0.000000000e+00,2.503577590e-04,1.949188857e+00,2.518869025e-01,1.434885700e-02,1,7.808208466e-06
MPI root-in repl-x cusparse CUD,CSR,Si41Ge41H72.mtx,185639,185639,15011265,1,1.912688900e-04,7.334011713e-07,156.965045387,0.000000000e+00,1.833369580e-04,2.257441990e+00,1.601289081e-01,1.086627600e-02,1,7.605211852e-06
MPI root-in repl-x cusparse CUD,CSR,Rucci1.mtx,1977885,109900,7791168,1,1.623941800e-04,1.112043276e-06,95.953783565,0.000000000e+00,1.543475227e-04,2.208806733e+00,1.188645894e-01,6.742691000e-03,1,2.610918273e-07
MPI root-in repl-x cusparse CUD,CSR,FullChip.mtx,2987012,2987012,26621990,1,4.317602700e-04,1.048738774e-06,123.318386845,0.000000000e+00,4.235571221e-04,6.773405311e+00,2.849585649e-01,2.083214900e-02,1,1.251503418e-04
MPI root-in repl-x cusparse CUD,CSR,rajat31.mtx,4690002,4690002,20316253,1,3.887657300e-04,1.290155183e-06,104.516686695,0.000000000e+00,3.805286407e-04,5.494204203e+00,1.886816240e-01,1.857376200e-02,1,2.777576447e-04
MPI root-in cyclic-x cusparse C,CSR,ldoor.mtx,952203,952203,46522475,2,9.106799500e-04,1.416371516e-04,102.170855963,5.890169900e-04,2.948096031e-04,1.178548810e+01,4.680223569e+00,4.166065800e-02,0,9.739586815e+00
