implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI root-in block-x cusparse CU,CSR,FullChip.mtx,2987012,2987012,26621990,4,1.853730120e-03,1.253541600e-04,28.722616861,1.717343400e-03,1.891839999e-04,1.303993292e+01,2.956245164e+00,2.084049900e-02,1,1.080270620e-03
MPI root-in block-x cusparse CU,CSR,rajat31.mtx,4690002,4690002,20316253,4,1.597248400e-04,3.035662124e-06,254.390650823,3.217787000e-05,1.073254391e-04,1.022907406e+01,2.068817610e-01,1.307945500e-02,1,2.777576447e-04
MPI root-in repl-x cusparse CUD,CSR,ldoor.mtx,952203,952203,46522475,4,1.696522900e-04,2.840946220e-06,548.444998886,0.000000000e+00,1.598156773e-04,1.178709620e+01,1.982869793e-01,1.664374300e-02,0,1.039617180e+01
MPI root-in repl-x cusparse CUD,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,4.795870000e-05,1.073144263e-06,129.508764833,0.000000000e+00,3.854336005e-05,1.345467134e+00,1.998418093e-02,3.052783000e-03,1,1.142275076e-06
MPI root-in repl-x cusparse CUD,CSR,bone010.mtx,986703,986703,71666325,4,2.319162700e-04,1.004666919e-06,618.036199013,0.000000000e+00,2.221875165e-04,1.522551759e+01,2.551478798e-01,2.849811600e-02,0,6.131001071e-03
MPI root-in repl-x cusparse CUD,CSR,boyd2.mtx,466316,466316,1500397,4,3.986249000e-05,6.776905852e-07,75.278639142,0.000000000e+00,3.048447978e-05,3.166181620e-01,9.171418121e-03,3.740445000e-03,1,4.365163746e+02
MPI root-in repl-x cusparse CUD,CSR,ASIC_680ks.mtx,682712,682712,2329176,4,4.176291000e-05,7.191583816e-06,111.542801974,0.000000000e+00,3.263487954e-05,1.146441328e+00,1.245387180e-02,6.898918000e-03,1,3.744061245e-02
MPI root-in repl-x cusparse CUD,CSR,eu-2005.mtx,862664,862664,19235140,4,9.128919000e-05,8.813081263e-07,421.411122171,0.000000000e+00,8.186879791e-05,4.507751853e+00,9.648146745e-02,8.112209000e-03,1,7.450580597e-06
MPI root-in repl-x cusparse CUD,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4,7.764491000e-05,7.662445576e-07,386.664496102,0.000000000e+00,6.817792073e-05,4.085147315e+00,6.779432596e-02,5.955444000e-03,1,7.605211852e-06
MPI root-in repl-x cusparse CUD,CSR,Rucci1.mtx,1977885,109900,7791168,4,6.673452000e-05,3.630905475e-06,233.497386361,0.000000000e+00,5.704704069e-05,4.031647386e+00,5.877246048e-02,9.833852000e-03,1,2.610918273e-07
MPI root-in repl-x cusparse CUD,CSR,FullChip.mtx,2987012,2987012,26621990,4,1.533668800e-04,7.400044770e-07,347.167393637,0.000000000e+00,1.437081607e-04,1.297426605e+01,1.397400644e-01,1.366473500e-02,1,1.251503418e-04
MPI root-in repl-x cusparse CUD,CSR,rajat31.mtx,4690002,4690002,20316253,4,1.432790000e-04,5.961615693e-06,283.590100433,0.000000000e+00,1.334681569e-04,1.021283581e+01,8.765017219e-02,1.924163500e-02,1,2.777576447e-04
