implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,input_total_s,input_read_parse_s,input_file_io_s,input_parse_s,matrix_validation_s,matrix_redistribution_s,matrix_pack_s,matrix_exchange_s,matrix_source_nnz,matrix_remote_nnz,matrix_remote_fraction,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI mpi-io-in block-x adaptive ,CSR,bone010.mtx,986703,986703,71666325,4,4.171917000e-04,1.256215727e-05,343.565440060,9.425740000e-05,3.137536019e-04,1.854028555e+01,1.854028578e+01,1.813506095e+01,1.312722860e+01,5.007831389e+00,8.348437100e-02,3.989926260e-01,2.948674290e-01,1.041251970e-01,71666325,1103669,1.540010598e-02,8.740171998e-01,2.353175400e-02,0,1.655946069e-02
MPI mpi-io-in block-x adaptive ,CSR,boyd2.mtx,466316,466316,1500397,4,5.670866000e-04,1.389835203e-04,5.291597439,5.257530000e-04,2.775040008e-05,5.494448280e-01,5.494451070e-01,5.386215340e-01,4.330787960e-01,1.055420990e-01,3.403832000e-03,1.078566500e-02,5.095650000e-03,5.690015000e-03,1500397,1098327,7.320242576e-01,2.438988355e-01,3.235948000e-03,1,1.440215890e+02
MPI mpi-io-in block-x adaptive ,CSR,ASIC_680ks.mtx,682712,682712,2329176,4,8.472070000e-05,1.012311705e-05,54.984814809,4.176070000e-05,2.334720027e-05,1.684749999e+00,1.684750185e+00,1.673989551e+00,1.309053507e+00,3.649347910e-01,5.930330000e-04,1.072404600e-02,8.325842000e-03,2.398204000e-03,2329176,82319,3.534254174e-02,2.803146136e-02,2.246779000e-03,1,3.744061245e-02
MPI mpi-io-in block-x adaptive ,CSR,eu-2005.mtx,862664,862664,19235140,4,3.252423000e-04,6.923401740e-05,118.281908595,1.953926000e-04,1.190912031e-04,6.129732379e+00,6.129732637e+00,6.016017212e+00,4.695690356e+00,1.320325995e+00,3.934557900e-02,1.113663340e-01,7.403073200e-02,3.733560200e-02,19235140,2492529,1.295820566e-01,4.323970683e-01,8.063063000e-03,1,2.038478851e-05
MPI mpi-io-in block-x adaptive ,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4,2.674787000e-04,6.341650103e-05,112.242694465,1.697983000e-04,9.666560292e-05,5.082133328e+00,5.082133613e+00,4.992474575e+00,3.685965349e+00,1.306508311e+00,1.717475300e-02,8.830293700e-02,5.617458600e-02,3.212835100e-02,15011265,3074931,2.048415640e-01,4.599708767e-01,6.583171000e-03,1,2.488980691e-05
MPI mpi-io-in block-x adaptive ,CSR,Rucci1.mtx,1977885,109900,7791168,4,1.493580000e-04,2.246945276e-05,104.328767123,8.803670000e-05,4.095999897e-05,4.996891883e+00,4.996892124e+00,4.948544106e+00,3.682888324e+00,1.265653314e+00,1.614084800e-02,4.829109800e-02,2.772476900e-02,2.056632900e-02,7791168,5830037,7.482879332e-01,6.755379724e-01,4.529391000e-03,1,2.607567424e-07
MPI mpi-io-in block-x adaptive ,CSR,FullChip.mtx,2987012,2987012,26621990,4,1.790199900e-03,9.362852172e-05,29.741918766,1.648267900e-03,2.358272016e-04,1.682545885e+01,1.682545911e+01,1.664837324e+01,1.233446973e+01,4.313902591e+00,1.584354870e-01,1.741676250e-01,1.074037560e-01,6.676386900e-02,26621990,16777713,6.302200925e-01,2.933170690e+00,1.572901100e-02,1,4.810702203e-04
MPI mpi-io-in block-x adaptive ,CSR,rajat31.mtx,4690002,4690002,20316253,4,1.749991000e-04,2.431314766e-06,232.186942678,5.004700000e-05,1.239039972e-04,1.519625669e+01,1.519625695e+01,1.508207846e+01,1.175246982e+01,3.329607757e+00,1.109314900e-01,1.129479450e-01,7.758260500e-02,3.536534000e-02,20316253,455408,2.241594451e-02,2.020182051e-01,9.312897000e-03,1,6.988048553e-04
MPI mpi-io-in block-x adaptive ,CSR,webbase-2001.mtx,118142155,118142155,1019903190,4,1.505883700e-02,1.293443623e-03,135.455771252,1.015594340e-02,5.029683161e-03,4.135616289e+02,4.135616292e+02,4.075872238e+02,3.306555516e+02,7.693167122e+01,4.338574415e+00,5.919651078e+00,4.117133146e+00,1.802517932e+00,1019903190,155896026,1.528537488e-01,1.574997693e+01,3.658360230e-01,1,5.072355270e-05
MPI mpi-io-in block-x adaptive ,CSR,nlpkkt240.mtx,27993600,27993600,774472352,4,1.939546020e-02,6.161073928e-04,79.861198859,1.677433890e-02,3.163136029e-03,1.846746551e+02,1.846746557e+02,1.797103615e+02,1.317455683e+02,4.796479082e+01,8.477675710e-01,4.911717985e+00,3.110616125e+00,1.801101860e+00,774472352,571664530,7.381342000e-01,1.610634354e+02,3.013425850e-01,1,1.153945923e-04
MPI mpi-io-in block-x adaptive ,CSR,rmat_26.mtx,67108864,67108864,603978557,4,6.056508120e-02,5.100365753e-03,19.944778246,4.704214780e-02,1.326489611e-02,1.005615085e+02,1.005615093e+02,9.678280351e+01,7.403423355e+01,2.274856797e+01,6.778850900e-02,3.729422837e+00,2.414655246e+00,1.314767591e+00,603978557,452993415,7.500157245e-01,1.156888754e+02,2.794396010e-01,1,1.392364502e-04
MPI mpi-io-in block-x adaptive ,CSR,rmat_22.mtx,4194304,4194304,37748204,4,3.100965800e-03,3.237617543e-04,24.346095013,2.607487900e-03,4.847615987e-04,6.140172054e+00,6.140172314e+00,5.894911634e+00,4.510752608e+00,1.384158247e+00,2.165515600e-02,2.411074690e-01,1.552985430e-01,8.580892600e-02,37748204,28310384,7.499796282e-01,5.120603178e+00,2.147105600e-02,1,7.343292236e-05
